lane,bet_id,mint,symbol,rule_set,proposal_id,gate,series,decided_at,features_end_time,entry_at,exit_at,exit_reason,size_sol,pnl_sol,flow_json,progress_pct
paper,01a09a23-f779-75e8-b7f7-c6f691891ae5,CLwmgwB9qgfUuzwJ357mNtzFiD2xBFtKCNhidMrJpump,$CTR,flow_v2/2,01a09a23-b95b-724b-b286-6295f879cfd3,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 09:40:26.917433+00,2026-09-13 09:40:11.725275+00,2026-09-13 09:40:31+00,2026-09-13 09:44:26+00,line_broken,0.05,-0.0080013159,"{""buys_1m"": 63, ""feature"": ""flow"", ""snipers"": 0, ""sells_1m"": 36, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""31.2633653163"", ""net_sol_flow_1m"": ""14.320973744"", ""progress_rising"": true, ""unique_buyers_1m"": 56, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",43.086
paper,01a09a39-c9a7-7a56-a3ac-cda15fc586b9,AeAWVCC4Z7wc3h8QbuWzc9hj97Tmmp5izJcnaFz4SqRf,MIZODOG,flow_v2/2,01a09a39-8be7-7d90-8556-aa33cd7a0412,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 10:04:14.720148+00,2026-09-13 10:04:10.476793+00,2026-09-13 10:04:15+00,2026-09-13 10:05:04+00,line_broken,0.05,-0.0067066662,"{""buys_1m"": 45, ""feature"": ""flow"", ""snipers"": 1, ""sells_1m"": 23, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""42.4390569037"", ""net_sol_flow_1m"": ""10.3170264928"", ""progress_rising"": true, ""unique_buyers_1m"": 39, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",71.2264
paper,01a09a80-15a4-7db1-9b15-a9fb13b56950,AMcgRh5CSHSiSdDLt2694JtiQ5d1jgitWL7Qewonpump,"666,666",flow_v2/2,01a09a7f-d71e-73af-86aa-fc792aa55a57,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 11:21:01.165033+00,2026-09-13 11:20:48.42257+00,2026-09-13 11:21:06+00,2026-09-13 11:21:24+00,line_broken,0.05,-0.0029182300,"{""buys_1m"": 50, ""feature"": ""flow"", ""snipers"": 9, ""sells_1m"": 25, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""33.7958304977"", ""net_sol_flow_1m"": ""9.6756647459"", ""progress_rising"": true, ""unique_buyers_1m"": 41, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",56.9745
paper,01a09a80-d6f7-7926-974f-86d60c260fb4,AMcgRh5CSHSiSdDLt2694JtiQ5d1jgitWL7Qewonpump,"666,666",flow_v2/2,01a09a80-90dc-7e76-bb77-32259c5c8b49,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 11:21:51.455944+00,2026-09-13 11:21:36.375324+00,2026-09-13 11:21:56+00,2026-09-13 11:22:11+00,creator_dump,0.05,-0.0027687047,"{""buys_1m"": 39, ""feature"": ""flow"", ""snipers"": 9, ""sells_1m"": 18, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""18.2693052003"", ""net_sol_flow_1m"": ""9.0482071155"", ""progress_rising"": true, ""unique_buyers_1m"": 25, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",62.036
paper,01a09aaa-8822-7907-ae67-bcca76b0a8a9,E7gwaShyXyA2do6quQLLxgp2XF7BAQL1uw3tFDBipump,piupiupiu,flow_v2/2,01a09aaa-4ac7-7df2-910d-e955c9bba4e3,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 12:07:25.785566+00,2026-09-13 12:07:09.752724+00,2026-09-13 12:07:29+00,2026-09-13 12:07:50+00,line_broken,0.05,-0.0056063650,"{""buys_1m"": 66, ""feature"": ""flow"", ""snipers"": 9, ""sells_1m"": 21, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""9.8765123823"", ""net_sol_flow_1m"": ""3.8082633567"", ""progress_rising"": true, ""unique_buyers_1m"": 32, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",36.8979
paper,01a09ace-412e-7f93-a010-49c723ea131d,brAjuM86aXzWSQnJW3oWccfct3bqMu62dYYfg4p7wUS,michi,flow_v2/2,01a09acd-c5a9-7af9-935c-1d3f08849ceb,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 12:46:08.795307+00,2026-09-13 12:46:00.504442+00,2026-09-13 12:46:20+00,2026-09-13 12:50:55.431471+00,creator_dump,0.05,-0.0049121997,"{""buys_1m"": 222, ""feature"": ""flow"", ""snipers"": 5, ""sells_1m"": 112, ""dev_share"": ""0.00001"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""50.6911729284"", ""net_sol_flow_1m"": ""5.0990295939"", ""progress_rising"": true, ""unique_buyers_1m"": 170, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",60.6286
paper,01a09ad0-4006-7da0-b85d-97b295712102,CuG7YyQog8UUxXCUPfhBFMyA7cmtYhyJhxTeKaXvpump,Bawa,flow_v2/2,01a09ad0-01dd-723b-a33b-3c4cec4b5fb5,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 12:48:37.633424+00,2026-09-13 12:48:35.337645+00,2026-09-13 12:48:39+00,2026-09-13 12:51:31+00,line_broken,0.05,0.0510661049,"{""buys_1m"": 27, ""feature"": ""flow"", ""snipers"": 10, ""sells_1m"": 13, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""41.0879826392"", ""net_sol_flow_1m"": ""9.1069985032"", ""progress_rising"": true, ""unique_buyers_1m"": 27, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",55.0332
paper,01a09afd-90ec-7d59-90d6-4afc9d87a69e,7hr2Ggzv7xHn9Gj7LfE58var19TaX5NUHLVxwcJbpump,TALPY,flow_v2/2,01a09afd-080c-71e9-895d-5e03e9ac0044,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 13:37:47.527772+00,2026-09-13 13:37:43.311365+00,2026-09-13 13:38:04+00,2026-09-13 13:39:47+00,creator_dump,0.05,-0.0036453689,"{""buys_1m"": 37, ""feature"": ""flow"", ""snipers"": 8, ""sells_1m"": 22, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""21.2424368219"", ""net_sol_flow_1m"": ""17.0568065151"", ""progress_rising"": true, ""unique_buyers_1m"": 35, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",59.2746
paper,01a09b23-6ad4-7350-8bca-b7205b2212fd,B7npXDi7N1MAAxWhvZkTZ7fXKB8FhUDSw3jt8s5ypump,Hive,flow_v2/2,01a09b22-1d72-715d-b72c-d1ed1aef90eb,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 14:18:16.225911+00,2026-09-13 14:18:06.475031+00,2026-09-13 14:19:19+00,2026-09-13 14:21:22+00,creator_dump,0.05,0.0073964222,"{""buys_1m"": 17, ""feature"": ""flow"", ""snipers"": 3, ""sells_1m"": 6, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""4.5404780768"", ""net_sol_flow_1m"": ""2.7580104086"", ""progress_rising"": true, ""unique_buyers_1m"": 16, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",36.1371
paper,01a09b2e-4223-70d5-836b-e84ae26f99ce,CKuPDZkFfY66Ytaoac9NgUzct5oigydauvp5t9Xopump,BOINK,flow_v2/2,01a09b2e-0083-7127-9d44-0102220e5b94,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 14:31:14.842757+00,2026-09-13 14:31:12.486324+00,2026-09-13 14:31:16+00,2026-09-13 14:39:01+00,line_broken,0.05,0.0057460207,"{""buys_1m"": 20, ""feature"": ""flow"", ""snipers"": 0, ""sells_1m"": 12, ""dev_share"": ""0.011888"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""6.906621818"", ""net_sol_flow_1m"": ""3.3687179866"", ""progress_rising"": true, ""unique_buyers_1m"": 20, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",18.2001
paper,01a09b33-e89f-73e9-b5bf-457d9e07ad17,7hbAzgBbfeityLTjwMwYqG3ho7ZYZw9HpywXuYonpump,T&C,flow_v2/2,01a09b33-6554-772c-912f-1bcaad2eb62e,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 14:37:07.861402+00,2026-09-13 14:36:54.624374+00,2026-09-13 14:37:16+00,2026-09-13 14:38:25+00,line_broken,0.05,0.0039004415,"{""buys_1m"": 13, ""feature"": ""flow"", ""snipers"": 1, ""sells_1m"": 1, ""dev_share"": ""0.019576"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""3.8537897802"", ""net_sol_flow_1m"": ""4.1874778888"", ""progress_rising"": true, ""unique_buyers_1m"": 13, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",22.223
paper,01a09b62-af92-7909-9d32-2d15d7b7ab03,5Fbv1uYAesKBiLNeF7f2wJ2wbeTJaCM6QJXhupNLTaiU,AAPLCAT,flow_v2/2,01a09b62-7094-7670-a820-2970e5837569,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 15:28:34.13785+00,2026-09-13 15:28:31.150471+00,2026-09-13 15:28:35+00,2026-09-13 15:29:54+00,creator_dump,0.05,-0.0093908325,"{""buys_1m"": 25, ""feature"": ""flow"", ""snipers"": 4, ""sells_1m"": 14, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""1.7839878874"", ""net_sol_flow_1m"": ""3.8148645298"", ""progress_rising"": true, ""unique_buyers_1m"": 25, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",15.2327
paper,01a09b66-4045-7a63-a7a8-f51e827e35ec,F6JyHCB5TdvV6oMuA7DiWcQuPQvajUJqw5MuNArMpump,BONE,flow_v2/2,01a09b66-0128-7b9f-9b7b-33a7129666c0,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 15:32:27.59738+00,2026-09-13 15:32:09.38918+00,2026-09-13 15:32:29+00,2026-09-13 15:33:02+00,creator_dump,0.05,0.0022429583,"{""buys_1m"": 60, ""feature"": ""flow"", ""snipers"": 10, ""sells_1m"": 33, ""dev_share"": ""0.020431"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""27.0838414126"", ""net_sol_flow_1m"": ""11.3001719825"", ""progress_rising"": true, ""unique_buyers_1m"": 55, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",46.7188
paper,01a09b6e-270a-701c-8e06-fbfaa8330411,DuNivBgpkbudDsrtB4VKDzpiiv2NnH2DKTgHLMsBpump,Joe&Sam,flow_v2/2,01a09b6d-e659-7491-a28b-ff09ce7b8b37,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 15:41:02.687868+00,2026-09-13 15:41:01.655702+00,2026-09-13 15:41:06+00,2026-09-13 15:50:49.855018+00,line_broken,0.05,-0.0005990558,"{""buys_1m"": 44, ""feature"": ""flow"", ""snipers"": 5, ""sells_1m"": 3, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""17.2515931488"", ""net_sol_flow_1m"": ""10.0385511474"", ""progress_rising"": true, ""unique_buyers_1m"": 44, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",46.8821
paper,01a09b86-6ab1-7c4e-a435-982b6022e2ce,Cwy2RUej6BzoAF2St2JbdJ9YU1yYPBEeDEuBk6Lqpump,MIKITARA,flow_v2/2,01a09b85-ed84-7855-9d6c-9bdf093f2ddd,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 16:07:19.910587+00,2026-09-13 16:07:08.080679+00,2026-09-13 16:07:27+00,2026-09-13 16:09:42.562812+00,creator_dump,0.05,-0.0008074930,"{""buys_1m"": 17, ""feature"": ""flow"", ""snipers"": 8, ""sells_1m"": 8, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""19.9471648499"", ""net_sol_flow_1m"": ""5.8534527545"", ""progress_rising"": true, ""unique_buyers_1m"": 16, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",63.2435
paper,01a09b86-6abd-796a-b80e-e747106288a7,HHgKzXiS78kTTRjGqdmwj2E7GJ42cvu1XYyiM5Mypump,Jeetcoin,flow_v2/2,01a09b85-ed85-7f6d-bce8-af38df1096d2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 16:07:19.910587+00,2026-09-13 16:07:08.080679+00,2026-09-13 16:07:27+00,2026-09-13 16:08:20+00,creator_dump,0.05,0.0000673553,"{""buys_1m"": 32, ""feature"": ""flow"", ""snipers"": 4, ""sells_1m"": 17, ""dev_share"": ""0.027427"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""11.9638989801"", ""net_sol_flow_1m"": ""4.4010376085"", ""progress_rising"": true, ""unique_buyers_1m"": 30, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",28.503
paper,01a09bb9-767a-76d5-b89e-a3b2830c6760,3mbRNjVSpEF4fsAWnZxPLi4Rnq5PGumQwqZNbogSpump,WINKY,flow_v2/2,01a09bb9-36b6-78cb-bf4d-61a37280fcf7,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 17:03:20.757888+00,2026-09-13 17:03:13.440023+00,2026-09-13 17:03:23+00,2026-09-13 17:05:28+00,line_broken,0.05,0.0329916608,"{""buys_1m"": 10, ""feature"": ""flow"", ""snipers"": 7, ""sells_1m"": 5, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""160.917990034"", ""net_sol_flow_1m"": ""44.614652434"", ""progress_rising"": true, ""unique_buyers_1m"": 10, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",83.4961
paper,01a09bbc-7cc0-767a-bc4b-2acd38583f01,3mbRNjVSpEF4fsAWnZxPLi4Rnq5PGumQwqZNbogSpump,WINKY,flow_v2/2,01a09bbc-0000-719a-8fe5-9d165862ec62,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 17:06:23.646292+00,2026-09-13 17:06:20.756652+00,2026-09-13 17:06:30+00,2026-09-13 17:07:45.789243+00,line_broken,0.05,-0.0062742626,"{""buys_1m"": 63, ""feature"": ""flow"", ""snipers"": 7, ""sells_1m"": 29, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""38.4388182252"", ""net_sol_flow_1m"": ""11.282180464"", ""progress_rising"": true, ""unique_buyers_1m"": 59, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",88.3176
paper,01a09bca-6e12-79f3-baca-7d66b80af8a1,FpxeEAAZWJUaAkSKjAZGXhyxXWTAms1PaM6tEbw9pump,ANONBULL,flow_v2/2,01a09bc9-e857-7308-bbc0-e3f7822870f1,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 17:21:35.002855+00,2026-09-13 17:21:28.034732+00,2026-09-13 17:21:47+00,2026-09-13 17:23:07+00,line_broken,0.05,0.0042612664,"{""buys_1m"": 20, ""feature"": ""flow"", ""snipers"": 10, ""sells_1m"": 10, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""7.7683202458"", ""net_sol_flow_1m"": ""8.172542035"", ""progress_rising"": true, ""unique_buyers_1m"": 19, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",92.7075
paper,01a09bdc-fedd-773b-8aa2-41850eebebc7,AurKcvw1RAA3C3ZLPMUr3xqavG8naMRyxo7qXjV7pump,BRUNOMARS,flow_v2/2,01a09bdc-bf16-77e0-a26e-e0d1a8b832a2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 17:42:06.555359+00,2026-09-13 17:41:51.680049+00,2026-09-13 17:42:13+00,2026-09-13 17:42:51+00,creator_dump,0.05,0.0058468542,"{""buys_1m"": 13, ""feature"": ""flow"", ""snipers"": 1, ""sells_1m"": 3, ""dev_share"": ""0.044121"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""45.3837243251"", ""net_sol_flow_1m"": ""4.9521554801"", ""progress_rising"": true, ""unique_buyers_1m"": 13, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",53.1205
paper,01a09be4-cba7-7346-81db-eecb14c1252e,9vUgBLZtNZd58xN5ZyWzM4ETt3HRFXKXnYd3DDJHpump,Smolingor,flow_v2/2,01a09be4-4831-720f-a75e-5bec4d9b5517,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 17:50:22.649195+00,2026-09-13 17:50:13.58661+00,2026-09-13 17:50:35+00,2026-09-13 17:53:16+00,line_broken,0.05,0.1878717051,"{""buys_1m"": 13, ""feature"": ""flow"", ""snipers"": 3, ""sells_1m"": 4, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""15.6270052724"", ""net_sol_flow_1m"": ""7.6354318816"", ""progress_rising"": true, ""unique_buyers_1m"": 13, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",43.9347
paper,01a09c1b-30ef-7ff7-8c37-5ba1895a690f,5HNmjtfjqDqkVaKQHhRvCW5CohVVQo334ADPx6upump,UNDA,flow_v2/2,01a09c1a-f174-7b0e-ba9f-d5d5ae7edd08,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 18:50:03.17919+00,2026-09-13 18:50:00.322539+00,2026-09-13 18:50:04+00,2026-09-13 18:53:06.766619+00,line_broken,0.05,-0.0096863973,"{""buys_1m"": 68, ""feature"": ""flow"", ""snipers"": 3, ""sells_1m"": 30, ""dev_share"": ""0.018241"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""59.0061727315"", ""net_sol_flow_1m"": ""16.5578458298"", ""progress_rising"": true, ""unique_buyers_1m"": 65, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",59.3288
